'Pair','MessageSize','AvgRTT','Stddev'
0, 32.000000, 0.037222, 0.065188
0, 64.000000, 0.007600, 0.000490
0, 128.000000, 0.008000, 0.000775
0, 256.000000, 0.010500, 0.001628
0, 512.000000, 0.010900, 0.000700
0, 1024.000000, 0.012900, 0.000831
0, 2048.000000, 0.020600, 0.009243
0, 4096.000000, 0.021500, 0.001204
0, 8192.000000, 0.037300, 0.013580
0, 16384.000000, 0.076400, 0.110886
0, 32768.000000, 0.090300, 0.084689
0, 65536.000000, 0.126600, 0.094034
0, 131072.000000, 0.189600, 0.098173
0, 262144.000000, 0.322200, 0.110940
0, 524288.000000, 0.579000, 0.112674
0, 1048576.000000, 1.121800, 0.180402
0, 2097152.000000, 3.762800, 0.053381
1, 32.000000, 0.036556, 0.078718
1, 64.000000, 0.007300, 0.000458
1, 128.000000, 0.007700, 0.000458
1, 256.000000, 0.010400, 0.001625
1, 512.000000, 0.010700, 0.000458
1, 1024.000000, 0.012500, 0.000922
1, 2048.000000, 0.020700, 0.011163
1, 4096.000000, 0.021000, 0.000775
1, 8192.000000, 0.036100, 0.011335
1, 16384.000000, 0.071700, 0.101116
1, 32768.000000, 0.085000, 0.086680
1, 65536.000000, 0.119500, 0.081177
1, 131072.000000, 0.187200, 0.087289
1, 262144.000000, 0.333800, 0.124103
1, 524288.000000, 0.589300, 0.143237
1, 1048576.000000, 1.123500, 0.177505
1, 2097152.000000, 3.770400, 0.075015
2, 32.000000, 0.031000, 0.062667
2, 64.000000, 0.007600, 0.000663
2, 128.000000, 0.008300, 0.000640
2, 256.000000, 0.010800, 0.001833
2, 512.000000, 0.013700, 0.007457
2, 1024.000000, 0.013100, 0.000831
2, 2048.000000, 0.017700, 0.001552
2, 4096.000000, 0.024600, 0.007877
2, 8192.000000, 0.039200, 0.012246
2, 16384.000000, 0.075200, 0.100103
2, 32768.000000, 0.089200, 0.092663
2, 65536.000000, 0.127100, 0.095650
2, 131072.000000, 0.194600, 0.102809
2, 262144.000000, 0.337000, 0.141213
2, 524288.000000, 0.579500, 0.109172
2, 1048576.000000, 1.125300, 0.177569
2, 2097152.000000, 3.762600, 0.049462
3, 32.000000, 0.030111, 0.061204
3, 64.000000, 0.007900, 0.000539
3, 128.000000, 0.008300, 0.000781
3, 256.000000, 0.010800, 0.001600
3, 512.000000, 0.011000, 0.000632
3, 1024.000000, 0.014300, 0.003348
3, 2048.000000, 0.017500, 0.001360
3, 4096.000000, 0.022400, 0.000917
3, 8192.000000, 0.039000, 0.011384
3, 16384.000000, 0.073100, 0.094329
3, 32768.000000, 0.087100, 0.085644
3, 65536.000000, 0.129600, 0.105147
3, 131072.000000, 0.193600, 0.100806
3, 262144.000000, 0.333700, 0.137490
3, 524288.000000, 0.579200, 0.106946
3, 1048576.000000, 1.126200, 0.177935
3, 2097152.000000, 3.759500, 0.070763
