'Pair','MessageSize','AvgRTT','Stddev'
0,32,0.0298,0.064504
0,64,0.007,0.000447
0,128,0.0076,0.000663
0,256,0.0097,0.00064
0,512,0.0103,0.000458
0,1024,0.0154,0.006344
0,2048,0.0165,0.001025
0,4096,0.0214,0.0008
0,8192,0.0344,0.003323
0,16384,0.0388,0.001166
0,32768,0.0556,0.001562
0,65536,0.0952,0.006046
0,131072,0.1574,0.005987
0,262144,0.2847,0.002865
0,524288,0.5403,0.000781
0,1048576,1.0633,0.006278
0,2097152,3.7286,0.017693
1,32,0.0332,0.074663
1,64,0.0097,0.007798
1,128,0.0075,0.000806
1,256,0.0098,0.000748
1,512,0.0139,0.00971
1,1024,0.0127,0.000781
1,2048,0.0168,0.001166
1,4096,0.0212,0.0006
1,8192,0.034,0.001483
1,16384,0.0414,0.007338
1,32768,0.0585,0.007606
1,65536,0.0947,0.005216
1,131072,0.1596,0.002939
1,262144,0.2854,0.003105
1,524288,0.5381,0.001578
1,1048576,1.0577,0.001418
1,2097152,3.7299,0.023428
2,32,0.0258,0.0484
2,64,0.0065,0.0005
2,128,0.0072,0.0004
2,256,0.0094,0.000663
2,512,0.0096,0.000663
2,1024,0.0119,0.000831
2,2048,0.0154,0.0008
2,4096,0.0199,0.000831
2,8192,0.0316,0.000663
2,16384,0.0361,0.00333
2,32768,0.0529,0.006139
2,65536,0.0921,0.008006
2,131072,0.155,0.001
2,262144,0.2854,0.00102
2,524288,0.5411,0.001136
2,1048576,1.0635,0.004272
2,2097152,3.8337,0.025776
3,32,0.0306,0.067537
3,64,0.0068,0.000748
3,128,0.0077,0.00064
3,256,0.0097,0.00064
3,512,0.0104,0.00049
3,1024,0.0164,0.009583
3,2048,0.0164,0.00049
3,4096,0.0212,0.0006
3,8192,0.035,0.003376
3,16384,0.0388,0.001077
3,32768,0.0547,0.001552
3,65536,0.094,0.001612
3,131072,0.1611,0.00667
3,262144,0.2909,0.011458
3,524288,0.5403,0.001005
3,1048576,1.0604,0.001281
3,2097152,3.8066,0.014759
