[prun] Master compute host = c54
[prun] Resource manager = slurm
[prun] Launch cmd = mpiexec.hydra -bootstrap slurm ./rtt
'MessageSize','AvgRTT1','Stddev1','AvgRTT2','Stddev2','AvgRTT3','Stddev3','AvgRTT4','Stddev4'
32.000000 , 0.018000, 0.027543 , 0.032500, 0.070569, 0.030000, 0.063745, 0.033000, 0.060471 
64.000000 , 0.009700, 0.008787 , 0.008000, 0.000632, 0.009600, 0.005834, 0.007700, 0.000640 
128.000000 , 0.007100, 0.000539 , 0.008700, 0.000900, 0.008200, 0.000748, 0.008200, 0.000600 
256.000000 , 0.010000, 0.001789 , 0.010800, 0.001833, 0.011100, 0.001446, 0.010900, 0.001758 
512.000000 , 0.010000, 0.000632 , 0.011400, 0.000663, 0.010900, 0.000831, 0.011100, 0.000539 
1024.000000 , 0.012100, 0.000700 , 0.015600, 0.006829, 0.013200, 0.000872, 0.013100, 0.000943 
2048.000000 , 0.015900, 0.001136 , 0.017100, 0.001044, 0.017400, 0.001281, 0.021400, 0.011595 
4096.000000 , 0.020200, 0.002135 , 0.021400, 0.001114, 0.022200, 0.000980, 0.020900, 0.000943 
8192.000000 , 0.034800, 0.011089 , 0.038500, 0.011868, 0.038900, 0.013042, 0.036700, 0.011463 
16384.000000 , 0.066100, 0.082629 , 0.073300, 0.092773, 0.076200, 0.108951, 0.071100, 0.098316 
32768.000000 , 0.079000, 0.072483 , 0.086600, 0.081480, 0.091200, 0.092479, 0.088500, 0.086557 
65536.000000 , 0.118400, 0.076166 , 0.125500, 0.090210, 0.120800, 0.087963, 0.125300, 0.088302 
131072.000000 , 0.187900, 0.081017 , 0.193300, 0.093141, 0.184100, 0.081974, 0.189900, 0.093706 
262144.000000 , 0.325700, 0.107276 , 0.319600, 0.093265, 0.321000, 0.113029, 0.335200, 0.127135 
524288.000000 , 0.580600, 0.109141 , 0.579700, 0.109104, 0.578800, 0.114737, 0.591300, 0.139587 
1048576.000000 , 1.128100, 0.180304 , 1.123600, 0.176826, 1.122600, 0.184135, 1.126900, 0.176035 
2097152.000000 , 3.785300, 0.063526 , 3.758500, 0.059800, 3.771200, 0.063972, 3.756900, 0.066941 
